v1;v2
positive;"The service is excellent, it should improve the maintenance of yellow bicycles, they often have difficulty pedaling and braking. However, the BikeMi service is really useful and environmentally friendly	"
negative;"Plan for bikes with a lower saddle for low people	"
positive;"good service can be improved	"
positive;"It's a great service, it will be even better when the suburban stations increase. I use it little because I use the bike only where there are bicycle lanes, normal roads is too risky to go by bike. It would be very useful to be able to have bikes with seats to accompany children to school and / or stations near the nursery / primary schools to save time on the way between school and work.	"
negative;"Missing station in gambara	"
positive;"improve maintenance / increase stations	"
positive;"Lately it often happens that you do not find bicycles or find full stalls on delivery, perhaps due to work all over Milan.	"
negative;"Many yellow bikes have gearboxes that don't work well	"
positive;"As in many European cities, it is important and useful that there is such a service in Milan. I pay the subscription to support it, even if I use it very little, preferring my personal bike. As said it is absurd that the service is not usable at night, while it is average in other cities. I would also like it to finally arrive in my area (Viale Campania)!	"
negative;"OFTEN THE STATIONS HAVE NO FREE PLACES TO LEAVE THE BIKE	"
positive;"The stations are often too full and I can't leave the bike and 2 hours is too little	"
positive;"Yellow bikes begin to record maintenance needs. A few red bikes ... I often can't find them	"
positive;"I greatly appreciate BikeMi. It would be nice to have lighter bicycles	"
negative;"the most unpleasant unexpected is when the pedals do not rotate, it often happens	"
positive;"improve brake and chain and gearbox maintenance.	"
positive;"service starts (7.00 am) too late	"
negative;"For some months now, the service has deteriorated, stalls often only with broken bikes, so no possibility of picking up, badly maintained and unsafe bikes	"
positive;"A simpler application to find out if there are parking spaces to store the bike	"
positive;"It would be advisable to improve bike maintenance even if this would lead to an increase in the cost of the pass	"
positive;"Improve regular and routine maintenance	"
positive;"Balance stations more frequently during peak hours	"
positive;"Improvement of the app is absolutely necessary	"
negative;"too heavy. lack of cycle paths. tropeo pavè in the center	"
positive;"I am enthusiastic about the service. It is efficient and does not pollute	"
positive;"Often the stations are without bicycles or full and the one in use cannot be stored	"
positive;"Twice I couldn't use the electric bike	"
positive;"Maintenance sometimes leaves something to be desired	"
positive;"Good service, unfortunately bikes don't work well, perhaps because of a low number of user reports. It is necessary to find ways to encourage reporting. Furthermore, in particular periods of the year and in certain areas of the city, the stations are always occupied or never found available	"
positive;"Electric bikes are too often not available	"
positive;"I would make the service available 24 hours a day	"
positive;"thyme but the bikes are too heavy	"
positive;"Good for starting to update the yellow bikes. It would be good if everyone recycled them like this.	"
positive;"Enthusiastic! Great service .. congratulations!	"
positive;"MOVE THE SERVICE TO THE PERIPHERAL AREAS NEAR SUPERMARKETS	"
positive;"I kindly ask you to make the stall n. 151 Balilla - Tibaldi. Sometimes it is uninhabitable and there are few bicycles available or they are generally few or poorly functioning (eg deflated wheels, poorly functioning brakes, gearshift changes).	"
negative;"The changes must be replaced 7 times out of 10 are broken or malfunctioning then in the station of caneva or in cenisio the stalls are often empty	"
negative;"unfortunately, bicycles are often defective	"
negative;"inadequate paving outside the cycle paths	"
positive;"repair the bikes, especially the yellow ones, and increase the number of parking spaces in areas where there is a greater number of bikemi use. reduce the weight of bicycles if possible. I get on very well with this service and with my suggested suggestions it would be great.	"
negative;"Very convenient and efficient service, but more maintenance is needed on the bicycles, especially the yellow ones, and more attention on some stations that too often, at peak times, I find completely empty.	"
positive;"Treat the availability of the stalls more precisely and make sure that the bikes are always working. The overall judgment of the service is good	"
negative;"electric bikes almost never go and the displacement policy is terrible when they are needed there is no need for more solicitude and not bikes only where there are municipal offices ... they never fail	"
negative;"Mode to report broken bikes and deactivate them immediately from the rack	"
negative;"Experience no doubt positive some bikes are to be fixed	"
positive;"More maintenance, more efficiency in the management of the redelivery.	"
positive;"They are satisfied with the service, but very often the restitution does not work in the best way and I lose a lot of time checking again and again	"
negative;"sometimes when you have to leave the bike the stations are full or it also happens that when you have to take them the stations are empty	"
positive;"Fine initiative, capillarity already good ... it would be great if it were thickened.	"
positive;"too often the stations are full during working hours and it is necessary to park far away losing the benefit of proximity	"
positive;"We should find a more effective method to understand the station with free seats and with bikes available (on the site it is not very user friendly). Maybe add booking possibilities	"
negative;"you could do without bikes because many don't work very well, skip the gear and this is really uncomfortable when you ride	"
positive;"they are very heavy to remove and put away from the station. The helmet supplied would be fantastic.	"
positive;"great service, more maintenance would be needed (bikes are often run-down and red ones not working), increase the number of parking spaces per car (often full), increase the number of red bikes	"
negative;"Great. Occasionally the ebikes are dead and it is a drama to lead them because they are too heavy	"
negative;"Beautiful service, too bad the cycle paths are missing	"
positive;"The maintenance of the bikes has deteriorated or rather the bikes are in perfect condition a few times. The defect that often is the exchange that does not work or the ramshackle pedals	"
positive;"lighter bikes	"
positive;"in the morning impossible to find to go to work	"
positive;"Very satisfied with the service in general, I would suggest more frequent revisions to vehicles, in particular brakes and cardan transmission (it often happens that you ""give in"" to pedaling). The overhaul system could be optimized giving the possibility to report at the redelivery if the vehicle shows malfunctions.	"
positive;"I am an enthusiastic supporter of BikeMi. Too often though, the return system does not work properly and indicates that the bike is still in use when it is not. They are perhaps too heavy bikes.	"
positive;"expand the areas served (specifically Lorenteggio)	"
positive;"there are few electric bikes - cover stations and peripheral areas	"
positive;"I think it's a useful and pleasant service, indispensable for a city like Milan. for me it is a sustainable solution in every sense, especially from an economic point of view	"
positive;"Install a station in via verde (they did the cycle)	"
negative;"As an assiduous user of BikeMi with an annual subscription that has already been renewed for 2 years, I consider the service unsatisfactory due to the stalls always full / in the evening the same stalls are always empty.	"
positive;"It is a pride of Milan ... now we must win the challenge of empowerment! Thanks!!	"
negative;"more bicycle maintenance would be required. in recent times numerous bikes are damaged or malfunctioning	"
positive;"Bikes are heavy to hook. It would be better to use another system	"
negative;"More attention to the stations, often they are all full and this makes it impossible to leave the bike, especially in the evening and in my area that is Porta Roma / via Friuli	"
positive;"SOMETIMES DIFFICULT TO FIND STATIONS WITH THE FREE SPACE TO LEAVE THE BIKE	"
positive;"improve stall management (when full or empty)	"
positive;"I find the initiative useful and avant-garde, but at the very moment I pick up a bike and it is not efficient I find it inconceivable not to be able to hang it up and take another one more efficient.	"
positive;"Fantastic service. At peak times in the center too often it is difficult to leave or take bikes	"
positive;"They are too heavy to ride	"
positive;"ADD STATIONS TO PERIPHERAL DISTRICTS	"
negative;"The service should be available on all 24 hours, because those who work on shifts or leave home very early cannot use it. Moreover it is not very present beyond the external bypass (90/91)	"
negative;"Frequent technical problems in the redelivery	"
positive;"Improve the app. Make the bicycle change faster if the first bike is damaged	"
positive;"better bike rotation is required. often I was ""on foot"" without a bike or without the possibility of returning it due to too full or too empty stations.	"
negative;"it's not good that the use is reduced to 2 hours, yet there are a lot of uncovered places that have no stations to leave the bike. I do not understand why one can no longer take the bike, it should be a service in addition to the hours of the metro / bus.	"
positive;"More comfortable seats, more stations	"
negative;"Often there are bicycles with punctured or damaged wheels and when it is assigned it cannot be changed - except waiting for the time to take another bike.	"
positive;"I have always found myself very well, but for some months I have had many problems finding free stalls in the central area	"
negative;"as already mentioned the stations are all too central, made for Milanese nobles who move without difficulty from corso italia to viale montenero. for commuters who come to rogoredo type you are forced to take the metro. I personally rogoredo viale montenero where I work would prefer to take the bike to rogoredo than to take line 3.	"
positive;"move bicycles better during peak periods leaving / entering from work and increasing stalls at junctions with high public transport	"
negative;"YELLOW BIKE IS OFTEN UNUSABLE BECAUSE IT IS DEFECTIVE	"
positive;"improve with more points	"
positive;"IMPROVING STALL EFFICIENCY	"
negative;"well, but problem in some stations of the center of overcrowding, there is no place	"
positive;"continue to install new stations in peripheral residential areas	"
positive;"Electric bikes almost never work	"
positive;"I would like the presence of stations to be extended even beyond the Lambrate station, for example in the Casoretto or Udine area	"
positive;"really satisfied with this service	"
negative;"Main problem I think is the maintenance of traditional bikes, often you are forced to change bikes several times before finding a functioning one	"
positive;"I feel good but without a credit card you can't even buy a day card, it doesn't seem right because students like me often only have a prepaid card	"
positive;"I don't have any suggestions at the moment. the comment, thank you for the excellent service provided.	"
positive;"I would like it if the number of red ebikes increased considerably	"
positive;"need more maintenance, stations in the center with too many bikes	"
